partition,pair_key,distance_bin,distance_bin_nm,distance_mid_nm,near_pair_count,connected_near_pair_count,syn_count_sum,connected_syn_count_sum,fraction_connected,fraction_ci_low,fraction_ci_high,logistic_fit_fraction_connected,residual_fraction_connected,distance_mid_um
overall,all,0,0-100,50.0,18607001,8324455,44763019.0,44763019.0,0.4473829501057156,0.4471570331598035,0.44760888877824745,0.38651057795476756,0.06087237215094804,0.05
overall,all,1,100-200,150.0,6671821,1556251,3720894.0,3720894.0,0.23325730711300557,0.23293655587128093,0.23357836553267725,0.3174460159242974,-0.08418870881129181,0.15
overall,all,2,200-300,250.0,4140476,704015,1490657.0,1490657.0,0.17003238275019586,0.1696708399765362,0.170394537821776,0.25558114401341586,-0.08554876126322,0.25
overall,all,3,300-400,350.0,3629025,488477,967733.0,967733.0,0.13460282031675175,0.13425205447333255,0.13495435976096976,0.20220107531466655,-0.0675982549979148,0.35
overall,all,4,400-500,450.0,3476117,372830,701994.0,701994.0,0.1072547327952425,0.10692986910121653,0.10758046456623548,0.15760939395643916,-0.05035466116119666,0.45
overall,all,5,500-600,550.0,3240965,275269,499011.0,499011.0,0.08493427111986708,0.08463124343751763,0.08523828277743015,0.12135571716663758,-0.0364214460467705,0.55
overall,all,6,600-700,650.0,3221041,222104,392460.0,392460.0,0.06895410521008581,0.06867790981620973,0.06923132878332038,0.09252525114736469,-0.02357114593727888,0.65
overall,all,7,700-800,750.0,3088091,171141,296422.0,296422.0,0.055419675132630485,0.05516503845063186,0.055675417933361594,0.06999838134159798,-0.0145787062089675,0.75
overall,all,8,800-900,850.0,2999527,135818,232659.0,232659.0,0.04527980578271174,0.04504508862376616,0.04551568769254029,0.052637936099907814,-0.007358130317196072,0.85
overall,all,9,900-1000,950.0,2931998,110033,186481.0,186481.0,0.0375283339211009,0.03731139479101045,0.03774648494071148,0.03940067912820357,-0.0018723452071026658,0.95
overall,all,10,1000-1100,1050.0,2805735,87622,146609.0,146609.0,0.031229606502395986,0.031026718404999702,0.031433778274749434,0.029389026405885796,0.0018405800965101901,1.05
overall,all,11,1100-1200,1150.0,2765985,73368,122698.0,122698.0,0.026525089615453447,0.026336371494172717,0.026715122927300664,0.021863418756757697,0.00466167085869575,1.15
overall,all,12,1200-1300,1250.0,2672531,60095,100621.0,100621.0,0.022486175090204754,0.022309108514650792,0.022664614457672382,0.016232654464592045,0.0062535206256127095,1.25
overall,all,13,1300-1400,1350.0,2610890,50177,83552.0,83552.0,0.019218350830559693,0.01905252167330647,0.019385594806565043,0.012034210874225461,0.007184139956334231,1.35
overall,all,14,1400-1500,1450.0,2567303,42869,70607.0,70607.0,0.016698067972498766,0.01654204447887559,0.016855537847732423,0.008911823483508607,0.007786244488990159,1.45
overall,all,15,1500-1600,1550.0,2490542,35917,59366.0,59366.0,0.014421358884933481,0.014274039235491623,0.014570176518372701,0.00659416118515549,0.00782719769977799,1.55
overall,all,16,1600-1700,1650.0,2466509,31321,52362.0,52362.0,0.012698514378013621,0.012559532900681661,0.012839013801942566,0.0048762784712598735,0.007822235906753749,1.65
overall,all,17,1700-1800,1750.0,2410779,27237,45506.0,45506.0,0.01129800782236779,0.011165367455026144,0.01143220569007053,0.003604307463585816,0.007693700358781974,1.75
overall,all,18,1800-1900,1850.0,2376260,23736,39274.0,39274.0,0.009988805938744077,0.009863155317700491,0.010116040918367842,0.0026632404958500766,0.007325565442894,1.85
overall,all,19,1900-2000,1950.0,2351312,21023,35126.0,35126.0,0.00894096572466776,0.008821444032950751,0.009062092009313287,0.0019673963355485557,0.0069735693891192045,1.95
